Maori,English
a,"Not translatable into an English word; nominal particle, used before names and pronouns: a Mere, a kōrua, a ia."
ā,"Various meanings, eg: and, and then, as in: Ka tae mai, ā, ka noho ki te kai; plural of tā, as in: tā tātou whare, ā tātou whare; indicating future time, as in: Ā te pō nei"
āe,yes
aha,what? 
ahakoa,although
ahatia,aha + passive suffix -tia
ahau,"I, me"
āhei,to be able
āhei,to allow
ahi,fire
ahiahi,"early evening, afternoon "
aho,"string, fishing line"
aho,"light, to shine"
ahu,move in a certain direction
ahu,to heap up
ahu,to look after
āhua,"shape, form, appearance"
āhuatanga,"property, characteristic, feature, circumstance"
,āhua + nominal suffix -tanga
ai,"Not translatable into an English word; verbal particle; used in various subordinate structures, for example relative clauses, adverbials"
aihikirīmi,ice-cream
aituā,accident; to have an accident
aituā,disaster; to suffer a disaster
ākau,"shore, coast"
ake,"Various uses and meanings, eg upwards, as in: piki ake, titiro ake; comparative as in: nui ake; own, as in: tōku whānau ake"
ako,"to learn, to teach"
ākonga,"student, learner"
akoranga,thing that is taught or learnt
aku,"my, mine, plural form of taku, neutral for possession category"
āku,"my, mine, for ā category items, plural form of tāku"
ākuanei,"soon, presently"
ana,Verbal particle showing ongoing action as in: e haere ana
ana,"his, her, plural form of tana, neutral for possession category"
ana,cave
anā,"there, by you"
āna,"his, her, plural, for ā category items"
anake,"only, just"
anei,"here, by me"
anga,face or move in a certain direction
anga,shell
anō,"Various meanings, eg again; also, too; self(reflexive) as in: ki a ia anō"
ao,"world, dawn, cloud"
aorangi,planet
āpōpō,tomorrow
āporo,apple
ara,path
ara,to rise
arā,"over there, away from us both"
ārahi,"to lead, guide"
ārai,"curtain; to screen off, block"
ariki,"chief, leader"
aro,"to face, turn towards"
aroha,"love, sympathy, compassion"
ata,"morning, shadow"
āta,"gently, carefully, deliberately"
ātaahua,"beautiful, well formed"
atawhai,to show kindness towards
ātea,open space
ātea,outer space
atu,away from current orientation
,(often not translatable by a separate English word)
atua,god
au,"I, me"
āu,"your, plural form of tāu, ā category possession."
aua,"I don’t know, as in: He aha tērā? Aua!"
aua,"those (previously mentioned), plural of taua"
auahi,smoke
auau,"to bark, howl"
auē,"Alas! An expression of woe, sadness"
awa,river
āwangawanga,worried
awatea,daylight
awhi,"to hug, embrace"
āwhina,to help
e,"A particle used in many ways, including: "
,"before verbs as in: e haere ana, e tangi nei"
,"before verbs that have only one or two morae to make a command (imperative), as in: e noho!"
,before names when addressing a person
,"by – for the agent phrase of a passive structure, as in:"
,I horoia ia e taku matua.
ehara,"Negative used for nominal sentences, as in:"
,He kurī tērā. Ehara tērā i te kurī.
,Ko Mere tēnei. Ehara tēnā i a Mere.
ehara,"Exclamation: Sure enough, without a doubt."
eke,to climb up on
eke,"to embark, get onto"
ēnā,"those, near you; plural of tēnā"
ēnei,"these, near me; plural of tēnei"
engari,"but, on the contrary"
ērā,"those, over there; plural of tērā"
,
ētahi,some; plural of tētahi
ētehi,some; plural of tētehi (variant of ētahi)
ha,what!
hā,breath
haere ,"go, come"
hāereere,"to wander, roam"
haerenga,journey
hai ,as for hei (variant of hei)
haina,"to sign (a letter, document)"
haka,"to perform traditional dance; haka, a traditional dance, war dance"
hākari,feast
haki,flag
hākinakina,sport; to play sport
hāmama,"to yell, shout"
hāmama,"open, gaping"
hanga,"to build, erect, make"
hāngai,"opposite, facing"
hangaia,hanga + passive suffix -ia
hangarau,technology
hāngi,traditional earth oven
hao,"to catch in a net, a net"
hāora,hour
hāora,oxygen
hāparangi,"to shout, bawl"
hapū,subtribe
hapū,pregnant
hara,to make a mistake; mistake
harakeke,flax
haramai (haere mai),come
hararei,holiday
hari,"to carry, take"
hari,to feel happy
haria,hari + passive suffix -a
harikoa,happy
haruru,to resound; a heavy sound
hau,"wind, air, breath"
haunga,"smelly, stinky"
hāunga,besides
hauora,"health, healthy"
haurua,half
hāwhe,half
he,"a, some"
hē,"wrong; error, mistake"
hea,where?
hei,"Various meanings, eg future preposition, at, in, with,"
,"for, to, as a "
heihei,chicken
heke,"to descend, go down"
heke,rafter
hekenga,descent
,heke + nominal suffix -nga
hēki,egg
hemo,to be dead
hemo,"to pass by, be gone"
hēoi,"and so, therefore"
here,"to tie, to bind"
herea,here + passive suffix -a
hī,to catch fish with a line
hia,how many?
hiahia,to want
hika,a term of address for both sexes: E hika
hiki,"to lift up, raise"
hiki,"to carry in the arms, to nurse"
hiko,lightning; to flash
hiko,electricity
hīkoi,to walk
hīkoi,"to step, tread"
hine,Term of address for a girl: E hine!
hinengaro,"mind, intellect"
hinga,to fall from an upright position
hinu,"oil, fat"
hipi,sheep
hoa,friend
hoariri,enemy
hoatu,to give (away from speaker)
hoe,"to paddle, row"
hōhā,"annoyed, a nuisance"
hōhonu,deep
hōia,"soldier, warrior"
hōiho,horse
hoki ,"also, too"
hoki ,"to go back, return"
hokinga,return
,hoki + nominal suffix -nga
hoko,"to buy, sell"
hokohoko,"to shop, trade"
hokona,hoko + passive suffix -na
hōmai,to give (to speaker)
hono,to join together
hopu,to catch
horo,quick
horo,"to crumble, to fall down"
horoi,"to wash, to clean"
hou,new
hū,shoe
hua,fruit
hua,egg
hua,product
huakina,to open
,huaki + passive suffix -na
huarahi ,"path, road"
hui,meeting
huia,"a treasured bird, now extinct"
huka,foam
huka,"ice, frost"
huka,sugar
huna,to hide
hunga,group of people
huri,to turn
hurihuri,"to turn round and round, over and over"
huritau,birthday
huruhuru,feather
huruhuru,body hair
huruhuru,fur
i,Several uses; not always translatable with a specific English word.
,Past tense verb particle: I haere ia ... She went 
,Past time marker: I tērā wiki ... Last week 
,Direct object marker: Ka kai ia i te āporo.
,Source marker (from): Kua hoki mai au i te kura.
i nāianei ,now
,(spelled as ināianei in older texts)
ia,"he, she, him, her"
iho,downwards
ihu,nose
ika,fish
ina,"if, when"
inā,"if, when"
ine,to measure
ingoa,name
inu,to drink
ipu,"container, bowl"
ira,dot
ira,gene
irirangi ,radio (usually as reo irirangi)
iti,"small, little"
iwa,nine
iwi,tribe
ka,Verbal particle with a range of meanings; not directly translated with an English word
kā,"to burn, be alight"
kaha,"strong, able"
kāhore,Negative used for verb sentences – not (variant of kāore)
kahu,"cloak, cape, covering"
kahurangi,blue (colour)
kahurangi,woman of high status or rank
kai,food
kaiako,teacher
,kai- + ako
kaikōrero,"speaker, orator"
,kai- + kōrero
kaimahi,worker
,kai- + mahi
kaimoana,seafood
kainga,kai + passive suffix -nga
kāinga,home
kaipuke,ship
kaipūtaiao,scientist
,kai- + pūtaiao
kaitā,"big, sturdy of build"
kaitākaro,"player, sportsperson"
,kai- + tākaro
kaitiaki,"caretaker, caregiver "
,kai- + tiaki
kaituhi,"writer, author"
,kai- + tuhi
kaiwhakahaere,"manager, organiser"
,kai- + whakahaere
kākahu,"clothing, garment"
kākano,seed
kakara,"scent, smell"
kākāriki,green
kakau,handle
kake,to climb
kakī,neck
kamo,eye
kānga,corn
kanikani,"dance, to dance"
kano,colour
kanohi,face
kāo,no!
kāore,Negative used for verb sentences – not
kapa,"group, row of people, as in: kapa haka"
kāpata,cupboard
kāpene,captain
kapi,to be covered or occupied (of space)
kāpia,glue
kapu,cup
kapua,cloud
kara,colour
karāhe,"glass, mirror"
karaka,clock
karaka,orange (from the colour of ripe karaka berries)
karakia,"prayer, to pray"
karanga,to call
karani,"granny, grandmother"
kararehe,animal
kare,"Term of address: E kare, dear "
kare,ripple
kare,"stove, heater"
kāre,"Negative word – not, none"
karere,messenger
kāreti,college
kāreti,carrot
kāri,card
kāri,playing card
karu,eye
kata,to laugh
kātahi,then
katakata,"to laugh and laugh, laughter"
kāti,Stop! As in: Kāti te tangi – Stop crying
katoa,all
kau,"manner particle, as in: kāore kau, kāre kau, ehara kau"
kau,cow
kau,swim
kaua,"Negative word, do not, eg: Kaua e tangi – Don’t cry"
kauaka,"Negative word, do not (variant of kaua), eg:"
,Kauaka e tangi – Don’t cry
kauhoe,to swim
kaukau,to bathe
kaumātua,elder; elderly
kaupapa,"topic, theme"
kaute,to count
kauwhata,graph
kāwana,"government, governor"
kāwanatanga,government
,kāwana + nominal suffix -tanga
kawe,"to carry, convey"
kawea,kawe + passive suffix -a
kawenga,"load, luggage, burden "
,kawe + nominal suffix -nga
kāwhe,calf
kē,"already, instead"
kēhua,ghost
kei,"Various uses, meanings, eg:"
,"preposition, present time and place location – at, in "
,"verbal particle, non-past time, as in: kei te haere"
keke,cake
kekeno,seal
kēmu,game
kete,"basket, kit"
ki,"Has various uses and meanings, eg: to, at"
kī,to say
kī,to be full
kia,"Various uses, meanings. Often not translatable by an English word."
kīhai,"Negative word – not, used with the past tense"
kīia,kī + passive suffix -ia
kiia,"crowded, full up"
kimi,"to look for, seek"
kimihia,kimi + passive suffix -hia
kino,bad
kiore,rat
kiri,skin
kirikiri,sand
kiromita,kilometre
kite,to see
kitea,kite + passive suffix -a
kitenga,"observation, seeing"
,kite + nominal suffix -nga
kiwi,"kiwi, native bird"
ko,Various uses; not usually translatable with an English word
kō,"at a distance, yonder"
koa,please
koa,happy
koe,"you, one person"
koha,gift
kōhanga,nest
kōhatu,stone
kohi,"to collect, gather together"
kohikohi,"to collect, gather together"
kōhua,to boil; cooking pot
koi,sharp
koia,"it is, so"
koina,that is (near listener)
koinei,this is
kōiwi,bone
kōkā,"mother, aunt"
kōkiri,"to charge, rush at"
konā,"there, by listener"
konei,"here, by speaker"
kongakonga,"small piece, fragment"
kōpae,disc
kore,"zero, nothing"
kōrere,tap
kōrero,"to talk, speak"
kōrerorero,to discuss
kōrerotia,kōrero + passive suffix -tia
koro,"Term of address for an elderly man, grandfather: E koro"
koroua,"elderly man, grandfather"
kōrua,"you, two people"
kotahi,one
kōtiro,girl
kōtuku,white heron
koutou,"you, three or more people"
kōwhai,yellow (colour)
kōwhai,"kōwhai, a native tree"
kua,Verbal particle; indicating completed action or movement into a state
kuhu,"to enter, to go or come in"
kui,"Term of address for an elderly woman, E kui."
kuia,"elderly woman, grandmother"
kuini,queen
kukume,"to pull, to drag"
kūmara,"kūmara, sweet potato"
kūpenga,net
kupu,word
kura,school
kura,red
kura,red feather
kura,treasured item
kurī,dog
mā,"Various uses and meanings, eg by, for; plural marker and others, as in: I haere mai a Mere mā."
mā,white
mā,clean
maha,many
mahana,warm
māhanga,twin(s)
mahara,"thought, memory"
māharahara,"worried, anxious"
mahara,
māhau,for you
,(variant of māu)
mahere,"map, plan"
mahi ,"to do, work, make"
mahia,mahi + passive suffix -a
mahue,to be left behind
māhunga,head
mai,towards the speaker in space or in orientation
māia,"capable, brave, bold"
makariri,cold
makawe,"hair of the head (human), used in plural: ngā makawe"
makere,to fall
makere,to come off
makere,to get down from
māku,"for me, by me"
mākū,wet
māmā,"mother, mum, mummy (informal)"
māmā,easy
mamae,"hurt, sore"
mana,"prestige, authority"
māna,"for him / her, by him / her"
manaaki,"to look after, to show hospitality towards"
manawa,heart
manga,stream
manga,branch
mano,thousand
manu,bird
manuhiri,guest
Māori,"Māori (people, language culture)"
māori,"normal, ordinary, fresh (of water)"
māra,garden
marae,marae
marama,"month, moon"
mārama,"clear, understand"
maramara,"crumbs, small pieces"
marangai,"rain, storm"
mārika,"indeed, quite, certainly; āe mārika"
maringi,to spill
mārō,"hard (of texture, personality)"
maroke,dry
mata,"face, surface"
mata,"point, blade"
mātaki ,to watch
mātakitaki,"to watch, to observe, examine, inspect"
mataku,"scared, afraid"
mātao,cold
matapihi,window
matau,right (direction)
matau,fish hook
mātau,"we, us (variant of mātou)"
mātau,"to know, understand"
mātauranga,"education, knowledge"
mate,"to be sick, ill, dead"
matekai,hungry
matimati,"finger, toe"
mātou,"we, us (three or more, excluding addressee)"
matū,"fat, chemical"
matua ,"parent, father "
mātua ,"parents, fathers (plural form of matua)"
mau,"to take, bring"
mau ,to be caught
mau ,to wear clothes
māu,"for you, by you; ā category possession"
māua,"we, us (two people, excluding addressee)"
mauī,left (direction)
maumahara,to remember / remember
maunga,mountain
mauri,life spirit
mauria,mau + passive suffix -ria
me,"Various meanings, uses, eg with, like, should"
mea ,thing
mea,to say
meatia,mea + passive suffix -tia
,to be said
,"to be done – non-specific action, as in: meatia te mea nā"
mehemea,"if (presuming not; cf. ki te, if, expressing simple uncertainty)"
mēnā,if
meneti,minute
mere,short club
mere,"bush, shrub"
mīere,honey
mīharo,to wonder at; amazing
mihi,to greet
mīhini,machine
miraka,milk
miriona,million
miro,thread
mita,metre
mīti,meat
mō,"for, unrealised, ō category possession"
,about
moana,sea
moe ,to sleep
moe,to marry
moemoeā ,to dream
,dream
moenga,bed
,moe + nominal suffix -nga
mōhio,to know
mōhiotanga,knowledge
,mōhio + nominal suffix -tanga
mōhiotia,mōhio + passive suffix -tia
moka,"end, margin, piece"
mōkai,pet
mokemoke,lonely
moko,Term of address to a grandchild: E moko
moko,tattoo
moko,lizard
mokomoko,lizard
mokopuna,grandchild
mōku,"for me, unrealised, o category possession"
momo,"type, kind"
mōna,"for him / her, unrealised, o category possession"
moni,money
motokā,"car, motorcar"
motu,island
motu,"cut, cut off"
motuhake,special
moutere,island
mua,"front, before"
mura,"blaze, flame"
muri,"behind, after"
mutu,"be ended, finished (but not necessarily completed)"
mutunga,end
,mutu + noun ending -nga
nā,"Various meanings, eg by, belonging to (ā category), by way of "
nāianei,now
nāku,"mine, realised possession, ā category"
,by me
nama,number
nāna,"by him / her, belonging to him / her"
nanakia,rascal
,"clever, cunning"
nau,"come, go: as in: Nau mai!"
nāwai,"presently, in due course, after a while"
nē,"tag question, translated variously depending on the English structure; eh?"
nei,"here, by speaker"
neke,to move
nekeneke,to move gradually
ngā,"the, plural"
ngahere,forest
ngākau,"heart, as in seat of the affections and feelings"
ngārara,"reptile, monster"
ngaro,"to be lost, missing, gone"
ngaru,wave
ngata,snail
ngata,to be satisfied
ngātahi,together
Ngāti,"tribal name prefix, as in: Ngāti Porou, Ngāti Kahungunu"
ngau,to bite
ngaungau,"to chew, a snack"
ngāwari,easy
ngāwari,"soft, supple of texture"
ngāwari,"kind, pleasant of personality"
ngenge,tired
ngeru,cat
ngunguru,to growl
ngutu,"lip, lips"
niho,tooth
nō,"Various meanings: from, of, belonging to (ō category)"
,
noa,"Various meanings, eg only, just, merely"
noho,to sit
noho,to stay
noho,to live
noke,worm
nōku,"mine, realised possession, ō category"
nōna,"his, her, realised possession, ō category"
,
nui ,"big, great, many"
,
nuinga,majority
,nui + nominal suffix -nga
nuku,to move
nunui,big (plural form)
o,"Has several uses: of, belonging to"
ō,"your, one person, neutral category possession, plural "
oho,to wake up
ohorere,"to start suddenly, be startled"
ōku,"mine, plural, ō category possession"
oma,"to run, escape"
ōna,"his / her, plural, ō category possession"
one,"beach, sand"
oneone,"earth, soil"
ono,six
ope,group travelling together
ora ,"alive, well, healthy, safe"
oranga,"health, life"
,ora + nominal suffix -nga
oreore,"to shake, quiver"
ōrite,to be the same as
otaota,"vegetation, herbs, grass, weeds"
oti,to be completed
otirā,"but, on the other hand"
ōu,"yours, one person, ō category possession, plural"
pā,"to touch, to affect"
pā,Term of address for father: E pā
pā,a fortified settlement
pae,to be cast ashore
pae,"to lay horizontally; horizon, ridge of hills"
pae,circumference
paepae ,container
paepae,speakers’ bench on the marae
pahi,bus
pāhi,"purse, to pass"
pahū,"to explode, burst; bomb"
pahū,drum
pai,good
painga,"benefit, skill, good qualities"
,pai + nominal suffix -nga
paipa,pipe
pakanga,"to fight, battle, war, hostility"
pakari ,strong
pakari ,"mature, ripe"
pakaru,"broken, shattered"
pakaru,broken down
Pākehā,Pakehā
pakeke,"grown up, adult"
pakeke,"hard, stiff"
pākete,packet
pākete,bucket
paki ,"to slap, to pat"
pakipaki ,"to applaud, to clap; applause"
pakitara,wall
pakiwaitara,story
paku ,small
pakupaku,very small
pāmu,farm
pana,"to push away, to expel"
panana,banana
panga,to throw
panga,"puzzle, riddle"
pāngarau,mathematics
pango,black
pani,orphan; to be orphaned
pānui,to read 
