Maori,English
pānui,"to publish, advertise; notice, advertisement"
paoro,ball
papa,"floor, ground, flat surface"
pāpā,"father, uncle"
parakuihi,breakfast
parāoa,"bread, flour"
parauri,brown
pare,"headband, headdress"
pare,"to ward off, to divert"
pari,cliff
parirau,wing
paru,"dirt, mud, dirty"
paruparu ,"dirt, mud"
pata,butter
pātai,question; to ask a question
pātata,close (of distance)
pātene,button
pātiki,flounder (fish)
pātītī,grass
patu ,"to strike, beat, thrash"
patu ,to kill
patua ,patu + passive suffix -a
pau,"to be consumed, used up completely, all gone"
pāua,pāua (abalone)
pea,"maybe, perhaps"
pea,pear
pea,bear
pea,pair
pēhea,how?
peita,paint
peka,branch
pēkana,bacon
pekapeka,bat
peke,"to jump, to leap over"
pēke,bag
pēnā,"like that, near listener"
pene,pen
pēnei ,"like this, near speaker"
pepa,paper
pēpi,baby
pērā,"like that, yonder"
pere,bell
pēwhea ,how? (variant of pēhea)
pī,bee
piki,to climb
piki,to increase
pikitia,"picture, film"
pīpī,"chick, baby"
pīrangi,"to want, desire"
pirau,rotten
piri,"to stick to, to cling"
pirihimana,police officer
piriti,bridge
piro,"stinking, putrid"
pito,"end, extremity"
pito,belly button
piupiu,"flax skirt worn as part of traditional costume, eg in kapa haka"
pō,night
poaka,pig
pōhatu,stone
pōhēhē,"to think mistakenly, be mistaken"
poi,"poi, small, soft ball on string"
poka,"hole; to make a hole in, to pierce"
pono,"true, faithful"
poraka,frog
poraka,jersey
poro,"to cut off, to cut short"
pōro,ball
porohita ,"circle, round (variant of porowhita)"
porowhita,"circle, round (variant of porohita)"
pōtae,hat
poti,cat
poti,boat
poto,short
pou,"pole, post"
pouaka,box
pouaka whakaata,television
pounamu,greenstone
pōuri,"sad, dark"
pū,letter (of the alphabet)
pū,gun
pū ,to blow gently
puare,"open, opening"
puehu,dust
puhi,to blow (wind)
pūkaha,engine
pukapuka,book
pukapuka,lungs
puke,hill
pūkenga,"skilled, expert"
puku,"stomach, belly"
pūmau,"fixed, permanent"
puna,"pool, spring"
pūngāwerewere,spider
punua,young animal
puoro,"to sing, to rumble"
pupū,to boil 
pupū,"to bubble up, arise from"
pupuhi,to blow (of the wind)
pupuhi,to shoot
pupuri,to hold onto
pūrākau,traditional story
purapura,seed
purei,to play / play
pūrere,"appliance, machine (electric)"
pūrerehua,butterfly
puru ,"to block up, plug"
puru,"to put, place somewhere"
purua,puru + passive suffix -a
puta,"to appear, to come out"
pūtaiao,science
pūtake,"reason, cause"
pūtake,root
putanga,"opening, exit"
,puta + nominal suffix -nga
pūtea,"budget, resources"
putiputi,flower
putu,"to heap up; a heap, pile"
rā,"Various uses, meanings, eg over there "
rā,sun
rā,day
rahi,large
rākau,tree; timber
raki,north
rama,"light, torch"
rānei,or
rangatahi,youth
rangatira,"chief, leader, boss"
rangi,"sky, day"
rango,"fly, blowfly"
rangona,to be heard (passive form of rongo)
rapa,to look for 
rapu,to look for
rārangi,"line, row"
raro,under
raru,"trouble; to be in difficulty, in trouble"
raruraru,"trouble, be in difficulty, in trouble"
rata,"friendly, at ease, calm"
rātou,"they, them, three or more people"
rau,hundred
rau,leaf
rau,to put into
rāua,"they, them, two people"
rawa,"Various meanings, eg quite, very"
rawe,"lovely, excellent"
rāwhiti,east
rēhia,"pleasure, amusement"
reira,there (previously mentioned)
reka,sweet
rekareka,"pleasant, delighted"
reo,"language, voice"
rere,to fly
rere,to flow
rere,to sail
rere,to escape
rerekē ,"different, changed"
rerenga,voyage
,rere + nominal suffix -nga
rerenga,"escape, running away"
,rere + nominal suffix -nga
rererangi,airplane
reri,ready
reta,letter
reti ,"to skate, slide"
retireti,"skates, skating"
rima,five
ringa,"hand, arm"
ringaringa,"hand, arm"
rino,iron
rīpene,"ribbon, tape"
riri,"anger, angry"
riro,"be obtained, be carried away, gone away"
rita,litre
rite,like
rīwai,potato
rō,"in (short form of roto, as in: ki rō whare)"
roa,long
roanga,length of time
,roa + nominal suffix -nga
rohe,"district, area"
roimata,tears
rongo,"to hear, perceive"
rongoā,medicine
rongonui,famous
rōpū,group
rori,road
rorohiko,computer
roto,in
rua,two
rua,hole
ruku,to dive
rūma,room
runga,on
tā,"ā category possession, singular form, used with other pronouns to form possessive pronouns, as in: ā mātou tamariki"
tā,"according to, as said by (as in: Hei tā Manu)"
tā,"to draw, paint"
tā,"to publish, print"
tae,"to reach, arrive"
taea,"to be able, to be achieved"
,tae + passive suffix -a
taenga,arrival
,tae + nominal suffix -nga
taha,"side, edge, margin"
taha,to pass by
tāhau,"your, ā category possession, singular (variant of tāu)"
tahi ,"one, single"
tāhuhu,ridgepole of a house
tāhuhu,"Ministry of Education, as in: Te Tāhuhu o te Mātauranga"
tahuri,"to turn around, to turn over"
tahuri,to capsize
tai,"the sea, as opposed to land"
tai,tide
tāia,tā + passive suffix -ia
taiapa,fence
taihoa,wait
taitama,young man
taka,"to fall, to fall off, to drop"
taka,to come around in a cycle 
tākaro,to play
take,"reason, cause, origin"
take,subject of discussion
take,"root, stump"
taki,"to recite, to recount"
taki,"to lead, to bring along"
takiwā,"district, region"
takoto,to lie down
taku,"my, neutral, singular"
tāku,"my, ā category possession, singular"
tākuta,doctor
tama,"son, nephew"
,"Term of address for a boy, son: tama"
tamāhine,daughter
tamaiti,child
tamariki,children (plural form of tamaiti)
tamatāne,boy
tame,male animal
tana,"his / her, neutral, singular"
tāna,"his / her, ā category possession, singular"
tāne,man
tangata,person
tāngata,people (plural of tangata)
tangi,to cry
tangi,"to mourn, lament"
tangi,"to make a sound, sound"
tango,to take hold of
tangohia,tango + passive suffix -hia
taniwha,"monster, traditional guardian of bodies of water"
tao,to cook
tāone,town
taonga,"prized possession, treasure"
taonga,"property, possession"
tapa,"edge, margin"
tapa,to name
tapahi,"to cut up, chop"
tapahia,tapahi + passive suffix -a
tāpiri,"to join something on, to add"
tapu,"sacred, holy, under ritual restriction"
taputapu,"utensil, tool"
taputapu,appliance
taputapu,"gear, equipment"
tapuwae,footprint
tāra,dollar
taraiwa,to drive; driver
taraka,truck
tarau,trousers
tari,study
tari,department
taringa,ear
taro,"presently, by and by, as in: taro ake"
tata,near
tātahi,"seaside, beach"
tātai,"to measure, to calculate"
tātai,"to arrange, to set in order"
tatari,to wait
tatau,door
tatau,to count
tātou,"we, us, inclusive, three or more people"
tau,number
tau,"year, period of time"
tau,"age, as in: e iwa aku tau"
tau,"beloved, darling"
tau ,"to land on, alight, come to rest"
tau ,to settle down
tāu,"your, one person, ā category, singular"
taua,"that, previously mentioned (singular)"
tāua,"we, us, you and I, inclusive, dual"
tauhou,"strange, unfamiliar; stranger"
tauira,student
tauira,example
taumaha,"heavy, of weight"
taumaha,"heavy, difficult of spirit or health"
taumata,"peak, pinnacle"
taumata,"grade, level of achievement"
taunga,"landing place, resting place, anchorage"
,tau + nominal suffix -nga
taunga,fishing ground
,tau + nominal suffix -nga
taunga,"to be accustomed to, familiar with"
taupoki,"to cover, close with a lid; lid, cover"
taura,"rope, cable"
tautoko,to support
tawhiti,"distant, a distant place"
tawhito,"old, former"
te,"the, singular definite article"
tēhea,"which, singular"
teina,"younger sibling, same sex"
teitei,"tall, high, lofty; height"
tekau,ten
tēnā,"that, by the listener"
tēnei,"this, by speaker"
tēpu,table
tērā,"that, yonder"
tere,"to flow, float, move quickly; fast"
tētahi,"a, one specific thing"
tētehi,"a, one specific thing (variant of tētahi)"
tī,tea
tī,cabbage tree
tiaki,"to look after, to care for"
tihi,summit
tihi,topknot
tika ,"to be right, correct, straight, in order"
tikanga,"custom, habit, agreed way of doing things"
,tika + nominal suffix -nga
tikanga ,"reason, meaning"
,tika + nominal suffix -nga
tiki,to fetch
,"tiki atu – go and fetch, bring"
,"tiki mai – come and fetch, take away"
tīkina,tiki + passive suffix -na (note the first i is lengthened)
tīma,team
tīmata,"to begin, to start"
tīmatanga,beginning
,tīmata + nominal suffix -nga
tina,"dinner, lunch"
tinana,"body, trunk, torso"
tini,"very many, numerous, plenty; multitude, throng"
tīni,to change
tinihanga,"to decieve, cheat"
tinihanga,"to trick, amuse with trickery"
tino,very
tipu,"to grow, develop"
tipu,"a plant, shoot"
tipua,a type of taniwha
tipua,"strange, unusual"
tipua,a person of high status
tipuna ,"grandparent, ancestor"
tīpuna,grandparents (plural form of tipuna)
tira,travelling party
tira,group or row of people
tiriti,treaty
tiriti,street
tiro ,to look
tirohanga,tiro + nominal suffix -hanga
tirohia,tiro + passive suffix -hia
tirotiro,"to look about, to investigate"
titiro ,to look at
tō,"your, neutral, one person, singular"
,"ō category possessive determiner, singular, as in: tō tātou "
tō,stove
tō,to drag
toa,shop
toa,brave
toa,"to win, come first; winner"
toa,male animal
toe,"to remain, be left over"
toenga,"leftovers, remnants"
,toe + nominal suffix -nga
tohorā,whale
tohu ,"a sign, mark"
tohu ,"to indicate, point out"
tohu ,"a qualification, eg degree"
tohua,tohu + passive suffix -a
tohunga,"expert, priest"
tohutohu,"to instruct; to guide, direct; instructions, directions"
toi,"origin, source; native, indigenous"
toi,"art, knowledge"
toka,rock
tōkena,"stockings, socks"
tokomaha,many (of people)
tokorua,two (of people)
tokotoru,three (people)
tōku,"my, ō category possession, singular"
,
tomo,"to enter, go into"
tōna,"his / her, ō category possession, singular"
,
tonga,south
tono,"to send, to command"
tono,"to ask for, to request, to demand"
tono,to apply for
tonoa,tono + passive suffix -a
tonu,still
tonutia,tonu + passive suffix -tia
toro,"to stretch out, to extend"
toro,to visit
toroa,albatross
toru,three
tote,salt
tōtika,"straight, direct, right"
toto,blood
tōu,"your, ō category possession, singular"
tū,to stand
tū,to be wounded; a wound
tua,beyond
tuahine,"sister, of a male"
tuakana,older sibling of the same sex 
tuanui,roof
tuarā,back
tuarua,second
tuatahi,first
tuatoru,third
tuawhā,fourth
tuhi ,"to write, to draw"
tuhi ,"to indicate, point out"
tuhia,tuhi + passive suffix -a
tuhinga,"writing, text"
,tuhi + nominal suffix -nga
tuhituhi ,"to write, draw"
tuhituhinga,"writing, text"
,tuhituhi + nominal suffix -nga
tuki,"to hit, to knock, to beat, to pound"
tuku,to allow
tuku,to send
tuku,to let something down; to hand something down
tuku ,"to let go, to give up"
tuku ,"to put off, to leave aside"
tukua ,tuku + passive suffix -a
tukuna,tuku + passive suffix -na
tukutuku,woven wall panels
tukutuku,spider web
tūmanako,"to hope for, anticipate, expect"
tumeke,"to take fright, surprise"
tuna,eel
tungāne,"brother, of a female"
tunu ,"to cook, roast"
tūpato,"to be careful; caution, cautious"
tupu,"to grow, develop; a plant, shoot"
,(variant of tipu)
tūpuna,grandparents (plural form of tupuna)
,(variant of tīpuna)
tūranga,"position, job"
,tū + nominal suffix -ranga
tūranga,"stopping place, as in: tūranga pahi bus stop "
,tū + nominal suffix -ranga
ture,"law, rule"
tūrehu,fairy
turituri,be quiet! noisy
tūru,"chair, seat, stool"
tūtaki,to meet
tūtaki,"to close up, to block"
tutuki,"to complete, to achieve"
tūturu,"real, natural, authentic"
tūturu,"fixed, permanent, definite"
ū,"to land, to reach land"
ū,"to be firm, fixed"
ū,"breast, udder"
ua,to rain; rain
uaua,difficult
uaua,"muscle, vein, artery"
uhi,to cover
uhia,uhi + passive suffix -a
ui,"to ask, enquire"
uira,lightning; to flash
uku,clay
uku,to wash
umere ,"to shout (in wonder, in appreciation)"
upoko,head
upoko,chapter of a book
upoko,verse of a song
uri,"descendant, offspring"
uru,"to enter, to go into"
uru,west
uta,"shore, land as opposed to sea or water"
uta,to load
utu,"cost, price; to pay for"
uwha,female animal
wā,time
wā,"place, space, area"
waea,telephone
waea,wire
waenga,"middle, dividing line"
waenganui,"middle, centre, between"
waewae,foot
waha,mouth
waha,to carry on the back
waha,"load, burden"
wāhanga,"part, portion, section"
wāhanga,"chapter, episode"
wāhi,"place, locality"
wāhi,"to break, to split, to break open"
wāhi,"part, portion"
wahie,driftwood
wahine ,"woman, wife"
wāhine ,"women, wives (plural form of wahine)"
waho,"out, outside, the outside"
Wai?,who?
wai,water
wai,juice
waiariki,hot spring
waiata,to sing
,song
waihanga,"to make, build something"
waiho,to leave something somewhere
waiho,"to remain, rest"
waimarie,"lucky, fortunate; luck, good fortune"
wairua,spirit
waka,canoe
waka,car
waka,"vehicle (land, air and sea)"
wānanga,"place of learning, as in: whare wānanga"
wao,forest
wareware,to forget; forgetful
waru,eight
waru,"to scrape, to peel"
wātea,"to be clear, unoccupied, free of obstruction"
wawata,"to long for, yearn for"
wawe,"early, soon, quickly"
wehe ,"to separate, divide"
wehenga,"departure, leaving"
,wehe + nominal suffix -nga
wehenga,"part, division, separation"
,wehe + nominal suffix -nga
wehi,to be afraid
wehi,terrible
weka,"weka, a native woodhen"
wera,"to burn; burnt; hot, heat"
wero,to pierce
wero,to challenge; formal challenge at a welcome ceremony
whā,four
whaea,"mother, aunt"
whai,"to follow, to chase"
whāia,whai + passive suffix -a (note lengthening of first vowel)
whāinga,"objective, aim, purpose"
,whai + nominal suffix -nga (note first vowel lengthens)
whāiti,"narrow, crowded together"
whakaae,to agree
whakaahua,to take photos; photograph
whakaari,"to display, to exhibit "
whakaari,"play, drama, performance"
whakaaro,to think; thought
whakaata,"to display, show"
whakaata,mirror
whakaatu,"to display, show, demonstrate"
whakaaturanga ,display
,whakaatu + nominal suffix -ranga
whakaaturanga ,television programme
,whakaatu + nominal suffix -ranga
whakahaere,"to run something, manage, make something go "
whakahau,"to command, order"
whakahau,to encourage
whakaheke,"to decrease, drop, lower"
whakahīhī,arrogant
whakahirahira,"great, magnificent, wonderful, very important"
whakahoki,"to return, to reply"
whakahokia,whakahoki + passive suffix -a
whakairo,"to carve, a carving"
whakakī,to fill something
whakamā,"to be embarrassed, ashamed"
whakamahi,"to operate, to make something work"
whakamahi,"to put someone to work, to make someone work"
whakamahia,whakamahi + passive suffix -a
whakamāori,to translate into Māori
whakamārama,to explain
whakamātau,"to test, examine"
whakamātautau,"examination, test"
whakamau,to put on
whakamau,"to fix, fasten"
whakamaua,whakamau + passive suffix -a
whakamīharo,"amazing, astonishing"
whakamua,"frontward, towards the front"
whakamuri,towards the back
whakamutunga,"ending, conclusion"
,whakamutu + nominal suffix -nga
whakangā,to rest
whakangahau,"to entertain, to amuse"
whakanui,"to honour, to praise"
whakanui,to enlarge
whakaora,"to rescue, to cure"
whakapae,"lying crosswise, horizontal"
whakapai,"to improve, to fix up"
whakapaipai,"to decorate, to adorn"
whakapakari,to strengthen
whakapapa,genealogy
whakapiri,"to cling to, stick to"
whakapono,to believe; faith
whakaputa,to produce
whakaputa,"to reveal, to publish"
whakaputa,"to make something come out, to appear"
whakararo,downwards
whakarite,to prepare
whakarite,"to arrange, to put in order"
whakarite,to compare
whakaritea,whakarite + passive suffix -a
whakarongo,to listen
whakarunga,upwards
whakatā,to rest
whakataetae,competition
whakatakoto,to lay something down
whakatata,to come closer to
whakatau,to decide
whakatika ,"to straighten, to correct, to fix"
whakatikatika,"to rearrange, to put in order, to fix"
whakatipu,to raise
whakatoi,to give cheek
whakatū,"to establish, to put someone or something in position"
whakatū,to stand something up
whakatūpato,"to warn, to caution"
whakatūria,whakatū + passive suffix -ria
whakauru,"to enter, to join, to enrol"
whakautu,"to reply, to respond"
whakawhiti,to cross
whāki,"to reveal, to disclose, to confess"
whānau ,family
whānau ,to be born / be born
whanaunga,"relative, relation"
,whānau + nominal suffix -nga (note the short first vowel)
whanga,bay
whanga,to wait
whāngai,"to feed, to foster"
whānui,"broad, wide"
whara,to be injured
whārangi,page
whare,"house, building"
wharekura,Māori-medium secondary school
whāriki,"mat, carpet, rug"
whatu,eye
whatu,stone
whatu,"to weave, knit"
whāwhā,"to fiddle with, to touch"
whawhai,to fight; a battle
whea ,where? (variant of hea)
whenua,land
whero,red
whetū,star
whiti,to cross
whitu,seven
whiu,"to throw, to fling"
whiu,to whip
whiu,to be satisfied
whiua,whiu + passive suffix -a
whiwhi,"to get, to acquire, to win"
whiwhi,to be in possession of
whutupōro,"football, rugby"
wiki,week
wīra,wheel
wiriwiri,"to tremble, to shake, to quiver"
